"企業ID","企業名","従業員数","勤続年数","平均給与"
806,"Company806",2079,10.9,42.5
807,"Company807",1668,17.7,37.1
808,"Company808",15630,11.7,39.2
809,"Company809",2372,15.2,44.4
810,"Company810",1536,14.1,47.6
811,"Company811",146,12.2,41.2
812,"Company812",376,12.7,44.9
813,"Company813",1665,15.4,37.9
814,"Company814",2212,14.8,47.2
815,"Company815",2374,18.6,42
816,"Company816",4093,13.3,39.7
817,"Company817",1482,10.6,43.2
818,"Company818",6064,14.6,39.6
819,"Company819",716,16.6,42.2
820,"Company820",537,22.4,42.3
821,"Company821",526,12.3,45.5
822,"Company822",3781,12.8,40.3
823,"Company823",1656,17.3,40.9
824,"Company824",3965,18.7,42.4
825,"Company825",1377,11.6,44.7
826,"Company826",995,16.5,47.7
827,"Company827",1245,11.9,46.7
828,"Company828",282,10.4,44.9
829,"Company829",558,16.3,36.3
830,"Company830",425,14.4,44.8
831,"Company831",5166,15.4,44.3
832,"Company832",990,11.9,39.9
833,"Company833",3963,20.6,40.3
834,"Company834",8201,16.5,37.9
835,"Company835",1485,12.6,42
836,"Company836",2390,16.6,42.3
837,"Company837",312,9.5,36.7
838,"Company838",793,13.5,37.3
839,"Company839",1904,19.2,42.5
840,"Company840",2427,13.3,38.9
841,"Company841",842,17.4,41.1
842,"Company842",26381,13.2,45
843,"Company843",1138,10.7,40.7
844,"Company844",1919,14.8,42.4
845,"Company845",3447,19.4,43.8
846,"Company846",1753,11.8,38.6
847,"Company847",945,15,45.7
848,"Company848",5119,10.4,44.8
849,"Company849",9055,10.2,45.8
850,"Company850",1747,11.1,40.7
851,"Company851",3158,19.1,37.6
852,"Company852",1632,17.5,43.5
853,"Company853",4974,16.2,43.9
854,"Company854",566,18.1,49.6
855,"Company855",18331,12.4,47.2
856,"Company856",984,16.8,40.6
857,"Company857",418,14.8,39
858,"Company858",1267,10.1,43.9
859,"Company859",2084,10.9,48
860,"Company860",9128,14.2,38.5
861,"Company861",4477,14.8,39.7
862,"Company862",2075,12.8,47.2
863,"Company863",448,10.3,47.5
864,"Company864",757,15.6,42.6
865,"Company865",1528,12.9,37.1
866,"Company866",23122,16,40.4
867,"Company867",280,9.4,45.5
868,"Company868",5578,13.6,48.5
869,"Company869",1062,16.9,42
870,"Company870",9523,17.3,40.1
871,"Company871",576,10.2,42.9
872,"Company872",2078,13,42.4
873,"Company873",599,9.8,39.3
874,"Company874",4442,15.2,43.8
875,"Company875",7937,13.9,46.2
876,"Company876",12660,10.8,42
877,"Company877",3996,11.1,43.9
878,"Company878",11370,10.1,42.8
879,"Company879",6260,15.6,43.4
880,"Company880",1577,16.1,41.4
881,"Company881",2900,15.4,45.6
882,"Company882",680,10.9,42.7
883,"Company883",1495,16,40.5
884,"Company884",6102,13.3,43.9
885,"Company885",3092,13.9,44.9
886,"Company886",2843,17.8,41.8
887,"Company887",637,10.7,34
888,"Company888",983,18.2,46.9
889,"Company889",837,12.5,39.7
890,"Company890",2672,11.4,41
891,"Company891",668,13.2,46.9
892,"Company892",3157,15.4,36.3
893,"Company893",589,13.2,38.7
894,"Company894",11204,10.7,39.8
895,"Company895",2853,13,38.1
896,"Company896",892,12.1,45.3
897,"Company897",2290,15.7,45.8
898,"Company898",1265,13.4,43.5
899,"Company899",2608,16.5,40.7
900,"Company900",2296,15.8,40.7
901,"Company901",652,16.4,40.3
902,"Company902",815,16.4,40.4
903,"Company903",2428,14,43.4
904,"Company904",9270,20,44.7
905,"Company905",5324,12.2,40.6
906,"Company906",963,15.7,43
907,"Company907",4111,14.5,34.8
908,"Company908",1714,16.1,42.2
909,"Company909",2432,13,39.4
910,"Company910",2335,11.6,45.3
911,"Company911",23647,14.3,45.6
912,"Company912",550,14.8,35.4
913,"Company913",1991,13.3,44.8
914,"Company914",303,14.1,40.3
915,"Company915",3246,15.5,41.5
916,"Company916",5389,11.1,44.7
917,"Company917",7640,18.2,44.1
918,"Company918",262,22.1,39.5
919,"Company919",2719,19.5,43
920,"Company920",8856,12.3,40.6
921,"Company921",1189,14.2,45.8
922,"Company922",1455,17.3,37.3
923,"Company923",1735,16.9,44.5
924,"Company924",2592,9.4,46.2
925,"Company925",3500,9.9,34.2
926,"Company926",6723,14.5,43.9
927,"Company927",1636,16.3,40.9
928,"Company928",2190,17.2,42.3
929,"Company929",21666,17,41.2
930,"Company930",2770,10.4,44.1
931,"Company931",2173,15.9,44.8
932,"Company932",470,17.1,43.8
933,"Company933",1805,15.2,41.7
934,"Company934",1442,10.1,40.7
935,"Company935",1780,19.8,41.6
936,"Company936",1012,12.6,41.3
937,"Company937",905,20.6,42.6
938,"Company938",875,16,39.5
939,"Company939",1452,18.4,43.8
940,"Company940",7070,15.2,39
941,"Company941",5139,13.8,37.5
942,"Company942",1255,10.3,42.8
943,"Company943",333,11.9,43.2
944,"Company944",773,13.8,45.1
945,"Company945",1138,15,44.2
946,"Company946",1996,13.9,42.7
947,"Company947",927,13.3,44.1
948,"Company948",13389,14.7,39.1
949,"Company949",1370,12.1,38.6
950,"Company950",534,12,38.4
951,"Company951",1562,17.1,42.1
952,"Company952",658,14.2,44
953,"Company953",2104,13.7,44.7
954,"Company954",2273,11.3,46.5
955,"Company955",2568,13.1,43
956,"Company956",355,10,41.6
957,"Company957",2244,10.1,40
958,"Company958",2455,17.6,42.8
959,"Company959",434,14.5,41.8
960,"Company960",4679,9.9,41
961,"Company961",3943,18.3,40
962,"Company962",17946,16.3,39
963,"Company963",2105,16.7,39.1
964,"Company964",1886,13.2,46.4
965,"Company965",1982,12.4,42.8
966,"Company966",1930,13.6,40.7
967,"Company967",283,15.5,37.3
968,"Company968",338,17,42.6
969,"Company969",1665,19.9,40.5
970,"Company970",1006,12.1,41.7
971,"Company971",1901,10.2,41.4
972,"Company972",217,14.4,44.3
973,"Company973",402,12.4,41.8
974,"Company974",598,18.2,41.5
975,"Company975",4825,13.1,49.1
976,"Company976",600,12.2,45.3
977,"Company977",809,11.4,42.4
978,"Company978",1949,13.2,39.8
979,"Company979",1303,20.1,45.5
980,"Company980",2083,15.1,39.2
981,"Company981",18044,15.8,41.9
982,"Company982",584,17.1,44.6
983,"Company983",1326,21.7,40.8
984,"Company984",1073,16.9,40.9
985,"Company985",8167,10.2,43.3
986,"Company986",833,18.8,42.4
987,"Company987",1658,12.2,41.3
988,"Company988",3954,15.5,41.4
989,"Company989",624,18.4,42.8
990,"Company990",9421,12.1,43.4
991,"Company991",3537,13.5,45.9
992,"Company992",614,15.3,40.7
993,"Company993",2835,14.8,45.9
994,"Company994",1454,11.1,37.6
995,"Company995",2462,16.7,40.1
996,"Company996",1645,16,37.9
997,"Company997",5250,12.9,42.9
998,"Company998",466,9.5,43.3
999,"Company999",1067,16.3,37.9
1000,"Company1000",1402,19.3,42.1
1001,"Company1001",664,19.1,39.3
1002,"Company1002",636,17.2,43.5
1003,"Company1003",1767,12.2,37.3
1004,"Company1004",1577,12,44.6
1005,"Company1005",140,11.8,41.9
1006,"Company1006",5095,12.5,38.9
1007,"Company1007",2310,16.6,41.8
1008,"Company1008",20165,14.9,41.2
1009,"Company1009",3571,13.9,40.9
1010,"Company1010",1151,14.6,37.5
1011,"Company1011",29523,11,40.2
1012,"Company1012",30569,14.1,41.5
1013,"Company1013",532,19.4,37.6
1014,"Company1014",2877,9.4,42.9
1015,"Company1015",1457,10,46.1
1016,"Company1016",2170,14.6,44.3
1017,"Company1017",2259,15.2,39.6
1018,"Company1018",509,12.8,40
1019,"Company1019",2394,11.7,40.6
1020,"Company1020",10350,11.9,43.8
1021,"Company1021",1527,13.3,41.9
1022,"Company1022",1529,20,39.2
1023,"Company1023",7288,11.5,37.5
1024,"Company1024",4420,14.3,43.7
1025,"Company1025",346,11.4,38.9
1026,"Company1026",2262,9.4,43.5
1027,"Company1027",9405,16.4,42.2
1028,"Company1028",7411,10.1,44.2
1029,"Company1029",2739,24.1,45.3
1030,"Company1030",3702,14.3,37.7
1031,"Company1031",543,14.2,45.1
1032,"Company1032",2430,13.8,44.1
1033,"Company1033",693,20.8,41.1
1034,"Company1034",1138,16.5,41.9
1035,"Company1035",4587,13.1,43.5
1036,"Company1036",577,9.7,44
1037,"Company1037",2350,10.2,36.9
1038,"Company1038",2762,11.1,46.4
1039,"Company1039",1901,18.5,37.8
1040,"Company1040",11133,13.3,35.8
1041,"Company1041",647,11.2,44.9
1042,"Company1042",3299,16.9,37.5
1043,"Company1043",1646,19,41.3
1044,"Company1044",1386,11.4,38
1045,"Company1045",2863,12.4,36.6
1046,"Company1046",648,15.3,40.7
1047,"Company1047",484,14,43.9
1048,"Company1048",1097,15.5,42.9
1049,"Company1049",10376,20.3,40.1
1050,"Company1050",1903,13.8,42
1051,"Company1051",2507,13,41.7
1052,"Company1052",1488,15.8,41.9
1053,"Company1053",2881,13.8,40.7
1054,"Company1054",694,16.3,43.1
1055,"Company1055",5729,13.2,38.8
1056,"Company1056",3230,15.6,43.1
1057,"Company1057",803,14.1,41
1058,"Company1058",1900,12.1,41
1059,"Company1059",3684,9.6,44.1
1060,"Company1060",3144,12.5,40.7
1061,"Company1061",7922,15.4,39
1062,"Company1062",975,14.3,38.4
1063,"Company1063",5495,16.6,44
1064,"Company1064",5075,17.5,35
1065,"Company1065",1530,17.1,40.7
1066,"Company1066",678,12.8,42.5
1067,"Company1067",605,13,37.9
1068,"Company1068",2845,18.3,42
1069,"Company1069",1676,13.6,44
1070,"Company1070",10664,15.8,36.5
1071,"Company1071",3073,15,39.3
1072,"Company1072",1240,12.5,47.3
1073,"Company1073",645,14.6,40
1074,"Company1074",1005,19.1,39.1
1075,"Company1075",2536,18.8,39.4
1076,"Company1076",1146,12.3,40.7
1077,"Company1077",3010,14,42.6
1078,"Company1078",1288,11.3,39.9
1079,"Company1079",1619,21.4,42.6
1080,"Company1080",866,19.5,44.1
1081,"Company1081",12095,13.2,43
1082,"Company1082",2510,11.4,44.2
1083,"Company1083",2266,21.9,39.6
1084,"Company1084",331,14.4,41.6
1085,"Company1085",3481,11.8,44
1086,"Company1086",646,18,42.2
1087,"Company1087",738,9.9,42.6
1088,"Company1088",4509,16.7,42.2
1089,"Company1089",1144,19.3,42.5
1090,"Company1090",313,13.2,41.9
1091,"Company1091",10566,19.4,38.7
1092,"Company1092",167,16.4,42.5
1093,"Company1093",3191,11.5,40.6
1094,"Company1094",4978,16.1,46.3
1095,"Company1095",957,11.4,40.4
1096,"Company1096",2806,12,42.5
1097,"Company1097",2792,16.9,36.1
1098,"Company1098",5095,12.2,40
1099,"Company1099",2920,13.9,39.5
1100,"Company1100",1409,17.8,45.7
1101,"Company1101",4498,9.5,41.5
1102,"Company1102",4008,19.9,42.4
1103,"Company1103",705,21.6,42.9
1104,"Company1104",443,16.3,40.4
1105,"Company1105",2112,15.6,42.9
1106,"Company1106",1368,12.2,46.5
1107,"Company1107",671,15.8,43.9
1108,"Company1108",1957,12.1,44.1
1109,"Company1109",480,15.1,39.5
1110,"Company1110",2114,11.5,42.5
1111,"Company1111",963,16.9,42.9
1112,"Company1112",4687,16.6,40
1113,"Company1113",20333,18.6,42.4
1114,"Company1114",720,21.3,47.9
1115,"Company1115",5183,11.6,39.1
1116,"Company1116",4108,17.6,43.7
1117,"Company1117",1677,12.3,38.8
1118,"Company1118",1143,17.5,43.1
1119,"Company1119",8698,11.3,38.9
1120,"Company1120",242,15.3,43.8
1121,"Company1121",946,10.7,38.2
1122,"Company1122",427,12.6,42.1
1123,"Company1123",7265,13.8,46
1124,"Company1124",1487,11.7,41.3
1125,"Company1125",1065,14.9,41.7
1126,"Company1126",43459,15.8,46.2
1127,"Company1127",1712,14.5,48.1
1128,"Company1128",1154,12.2,49.4
1129,"Company1129",2429,17.3,40.8
1130,"Company1130",375,18,38.8
1131,"Company1131",2939,18.2,44
1132,"Company1132",1634,12.7,43.3
1133,"Company1133",2875,9.9,45.9
1134,"Company1134",673,11.7,42.5
1135,"Company1135",647,18.9,42.5
1136,"Company1136",899,16,46.5
1137,"Company1137",835,15.8,42.5
1138,"Company1138",6598,14.7,44
1139,"Company1139",8731,16.3,43.5
1140,"Company1140",1538,17.2,41.9
1141,"Company1141",1257,10.4,40.4
1142,"Company1142",1295,17.5,41
1143,"Company1143",1929,20.4,36.2
1144,"Company1144",1983,11,45.8
1145,"Company1145",2405,16.8,37.2
1146,"Company1146",853,15.2,40.2
1147,"Company1147",771,10.1,40.9
1148,"Company1148",5958,18.2,45.6
1149,"Company1149",1039,14.1,42.2
1150,"Company1150",2437,17,44.8
1151,"Company1151",1700,14.8,41.1
1152,"Company1152",690,17.2,47
1153,"Company1153",3250,14.1,43.5
1154,"Company1154",2140,18.1,43.6
1155,"Company1155",7297,12.7,44.6
1156,"Company1156",2024,16,37.6
1157,"Company1157",1292,15.4,42
1158,"Company1158",2377,17.1,42.6
1159,"Company1159",550,11.7,39.7
1160,"Company1160",780,14.7,42
1161,"Company1161",2998,11.9,39.8
1162,"Company1162",1290,17.4,42.7
1163,"Company1163",1685,11.6,36.6
1164,"Company1164",1604,20.4,42.9
1165,"Company1165",939,16.9,40.1
1166,"Company1166",239,13.9,44.8
1167,"Company1167",2551,18.5,36.1
1168,"Company1168",3855,13.7,42.1
1169,"Company1169",496,16.1,41.3
1170,"Company1170",7926,16,44.8
1171,"Company1171",2645,15.6,37.3
1172,"Company1172",6885,11.8,40.4
1173,"Company1173",691,9.4,44.1
1174,"Company1174",2126,12.3,43.8
1175,"Company1175",1628,16.5,43.1
1176,"Company1176",3881,13.1,42.9
1177,"Company1177",1011,9.5,37
1178,"Company1178",1781,22,44.6
1179,"Company1179",303,16.6,42.6
1180,"Company1180",827,21.2,36.6
1181,"Company1181",2039,18.5,41.5
1182,"Company1182",888,11.7,44.9
1183,"Company1183",1723,12.5,44.1
1184,"Company1184",1127,16.7,40.1
1185,"Company1185",3302,20,44.7
1186,"Company1186",5790,10.6,40.8
1187,"Company1187",790,9.6,43.1
1188,"Company1188",1324,17.3,44.8
1189,"Company1189",7595,21.1,43.2
1190,"Company1190",199,16.1,40
1191,"Company1191",1307,15.3,44.5
1192,"Company1192",14189,14.4,46.4
1193,"Company1193",16141,13.8,39.2
1194,"Company1194",2105,11.8,41.5
1195,"Company1195",758,10.7,45
1196,"Company1196",2123,14.9,39.4
1197,"Company1197",937,17.1,36.8
1198,"Company1198",7695,20.4,40.5
1199,"Company1199",803,16.8,45.2
1200,"Company1200",2613,10.5,37.9
1201,"Company1201",3345,18.3,41.3
1202,"Company1202",843,15.3,44.9
1203,"Company1203",4217,19.3,42.1
1204,"Company1204",852,15.8,43.7
1205,"Company1205",3380,15.1,46.9
1206,"Company1206",5389,17.9,44.7
1207,"Company1207",669,13.1,43.8
1208,"Company1208",5450,18.2,43.5
1209,"Company1209",1103,12.4,38.5
1210,"Company1210",2416,12.4,44.5
1211,"Company1211",2202,14.1,43.6
1212,"Company1212",1174,10,43.2
1213,"Company1213",2353,12.3,42.2
1214,"Company1214",525,18.1,38.2
1215,"Company1215",1570,20.1,42.5
1216,"Company1216",4110,18.1,45.8
1217,"Company1217",204,12.4,40.2
1218,"Company1218",406,15.2,36.6
1219,"Company1219",563,14.4,47.5
1220,"Company1220",367,9.3,40.3
1221,"Company1221",2738,15,45.4
1222,"Company1222",666,11,43.9
1223,"Company1223",206,10.1,47
1224,"Company1224",951,16.7,41.9
1225,"Company1225",1217,11.4,41.1
1226,"Company1226",4240,13.5,47.2
1227,"Company1227",596,10.4,48.5
1228,"Company1228",5749,14.2,43
1229,"Company1229",2680,15.8,42.5
1230,"Company1230",2586,15.9,44.2
1231,"Company1231",767,10,40
1232,"Company1232",12698,18.7,43.5
1233,"Company1233",1527,19.5,39
1234,"Company1234",290,15.4,41.1
1235,"Company1235",1468,14.6,44.4
1236,"Company1236",260,14.3,39.7
1237,"Company1237",1319,15,44.6
1238,"Company1238",1180,15.4,43.5
1239,"Company1239",3559,14.5,46.3
1240,"Company1240",4939,16.4,48.5
1241,"Company1241",870,12.8,40.3
1242,"Company1242",4030,18.2,43.2
1243,"Company1243",7479,13.9,46.7
1244,"Company1244",821,13.6,42.6
1245,"Company1245",937,15.7,40
1246,"Company1246",3450,18.6,39
1247,"Company1247",2161,14.2,46.2
1248,"Company1248",3116,14,49.8
1249,"Company1249",7333,9.6,38.9
1250,"Company1250",2650,10.4,42.3
1251,"Company1251",5152,10.2,37.3
1252,"Company1252",3355,11,42.2
1253,"Company1253",2777,18.2,41.1
1254,"Company1254",2648,10.9,42
1255,"Company1255",6547,12.4,50.7
1256,"Company1256",660,14.7,37.8
1257,"Company1257",596,17.3,43.3
1258,"Company1258",3253,11.5,47.5
1259,"Company1259",1596,10.9,40.2
1260,"Company1260",1938,12.1,39.5
1261,"Company1261",3777,9.7,42.1
1262,"Company1262",3823,17.4,45.9
1263,"Company1263",1384,12,41
1264,"Company1264",1316,14.1,38.9
1265,"Company1265",1937,19.7,42.2
1266,"Company1266",5211,20,35.9
1267,"Company1267",2756,11.9,37.6
1268,"Company1268",7544,11.4,45.3
1269,"Company1269",1786,12,43.4
1270,"Company1270",5548,16.6,35.5
1271,"Company1271",4352,14.9,43.9
1272,"Company1272",3319,12.5,35.1
1273,"Company1273",2725,11.2,40.7
1274,"Company1274",1360,13.2,42.9
1275,"Company1275",1614,13.9,37.7
1276,"Company1276",2264,10.7,45.8
1277,"Company1277",1890,14.2,45.6
1278,"Company1278",4622,15.7,40
1279,"Company1279",1613,12.1,45.4
1280,"Company1280",1677,10.2,42.6
1281,"Company1281",1109,11.7,44
1282,"Company1282",1567,11.5,44
1283,"Company1283",1680,11.1,38.1
1284,"Company1284",178,13.3,35.9
1285,"Company1285",459,13.2,48.6
1286,"Company1286",1674,15.2,42.7
1287,"Company1287",1380,18.8,43.1
1288,"Company1288",541,15.2,38.4
1289,"Company1289",245,19.5,45.4
1290,"Company1290",1262,11.6,47.5
1291,"Company1291",3460,19,46.6
