顧客ID,購入回数,平均購入額（円）,カート放棄率（%）,訪問回数,滞在時間（秒）,流入経路,デバイス,購買カテゴリ,ヤング・メンズ・トップス,ヤング・メンズ・ボトムズ,ヤング・メンズ・アウター,ヤング・メンズ・アクセサリー,ヤング・レディース・トップス,ヤング・レディース・ボトムズ,ヤング・レディース・アウター,ヤング・レディース・アクセサリー,アダルト・メンズ・トップス,アダルト・メンズ・ボトムズ,アダルト・メンズ・アウター,アダルト・メンズ・アクセサリー,アダルト・レディース・トップス,アダルト・レディース・ボトムズ,アダルト・レディース・アウター,アダルト・レディース・アクセサリー,シニア・メンズ・トップス,シニア・メンズ・ボトムズ,シニア・メンズ・アウター,シニア・メンズ・アクセサリー,シニア・レディース・トップス,シニア・レディース・ボトムズ,シニア・レディース・アウター,シニア・レディース・アクセサリー
10178,5,5033,44,47,533,広告,タブレット,アクセサリー,10,7,10,10,6,0,5,8,1,2,1,6,0,3,9,4,9,5,2,2,10,8,4,6
10179,5,9428,13,29,260,広告,スマホ,レディース,5,5,8,8,3,0,5,9,4,2,7,10,6,1,4,9,0,7,6,3,7,4,3,6
10180,2,2304,29,12,113,検索,スマホ,レディース,9,8,10,1,9,1,8,0,3,1,7,4,10,2,4,7,0,0,10,9,0,6,5,3
10181,2,18685,67,36,159,広告,PC,なし,7,2,1,6,9,10,1,6,4,8,6,5,2,3,5,10,7,10,10,9,2,7,1,4
10182,3,19925,17,35,174,直接,タブレット,メンズ,9,1,10,2,9,3,5,6,4,5,5,2,10,9,6,5,10,0,9,7,1,1,3,10
10183,2,19435,61,12,57,検索,スマホ,メンズ,3,1,5,1,8,10,8,10,9,1,0,5,8,7,3,3,8,10,4,9,3,10,6,2
10184,1,9633,36,7,95,検索,タブレット,アクセサリー,9,5,9,3,4,8,3,3,7,2,7,7,7,2,6,3,6,6,2,8,1,0,0,0
10185,2,12372,24,29,192,検索,スマホ,アクセサリー,7,6,9,6,7,6,10,10,9,9,0,9,2,7,4,3,2,6,1,7,10,6,10,7
10186,5,9996,47,11,258,検索,スマホ,なし,8,5,7,6,5,5,5,0,6,5,7,10,0,5,5,5,5,1,1,10,7,5,2,9
10187,5,17458,64,33,290,直接,スマホ,なし,3,10,4,8,3,0,6,2,8,3,10,8,8,3,3,6,2,2,4,9,0,5,0,10
10188,3,6475,52,6,478,検索,PC,なし,0,2,4,2,2,4,0,4,10,6,1,2,9,6,7,4,9,1,7,1,3,1,1,6
10189,4,8184,78,47,453,広告,PC,レディース,2,4,7,6,10,10,4,1,0,5,7,7,0,10,8,9,3,5,7,3,4,2,8,8
10190,1,13875,72,15,489,直接,PC,なし,0,7,0,5,5,3,3,6,5,5,9,2,2,4,1,7,3,7,4,3,9,3,9,9
10191,3,2622,14,32,330,SNS,タブレット,なし,6,5,5,9,0,4,9,9,5,2,3,1,5,4,10,6,2,7,1,1,3,2,4,3
10192,4,16988,48,11,332,SNS,タブレット,アクセサリー,0,1,9,6,1,10,1,9,1,10,6,4,5,8,3,7,9,0,3,7,7,1,3,4
10193,3,9041,87,23,316,広告,PC,なし,10,6,8,6,6,8,1,6,10,7,4,3,10,2,10,3,5,10,6,2,1,2,3,4
10194,3,17725,67,26,424,広告,タブレット,レディース,3,7,5,9,3,2,1,9,7,8,7,4,9,9,7,7,4,8,5,1,8,5,7,6
10195,3,19458,11,34,39,直接,スマホ,レディース,0,3,6,4,4,3,6,4,5,5,5,5,3,3,7,5,10,10,9,6,1,8,2,8
10196,3,8992,58,46,299,SNS,スマホ,アクセサリー,1,0,3,8,10,7,10,9,10,1,4,2,1,4,8,2,8,7,6,0,1,3,3,7
10197,5,16646,36,34,390,SNS,スマホ,なし,10,1,9,6,9,2,10,5,9,0,0,0,9,0,2,7,8,8,4,5,1,5,1,6
10198,3,18029,60,29,286,SNS,PC,なし,0,3,0,6,0,2,3,0,8,2,2,3,5,6,0,6,2,8,1,2,9,0,5,0
10199,5,5263,42,4,162,SNS,タブレット,レディース,4,6,8,2,1,8,5,3,9,2,9,5,9,7,8,9,8,10,7,2,7,5,8,9
10200,2,15060,69,17,305,SNS,PC,なし,6,1,5,0,3,4,6,3,4,7,8,1,4,5,0,4,2,5,1,4,2,2,3,5
